GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,GEM Entity ID,Owners (Non-ENG),Parent Company,GEM Entity ID,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M0474,,India,Amlohri Coal Mine,,,,https://www.gem.wiki/Amlohri_coal_mine,,Operating,,,Stage 1,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,7.6,15,2023,,Surface,Open Pit,21.75,300,Exact,1697,Estimate,Subbituminous,Thermal,,,,,108,2022,329,7,1982,,-,,Singrauli,Amlohri,Sidhi,Madhya Pradesh,Southern Asia,Asia,24.134,82.593,Exact,Coal Plant,Rihand power station,https://www.gem.wiki/Rihand_power_station,,,,,,,,74.3,0.05,3.3,1.5,4.1,1.5,356
M0475,,India,Amrapali Coal Mine,Magadh Amrapali Area,,,https://www.gem.wiki/Magadh_Amrapali_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,9,22.59,2023,,Surface,Open Pit,24.79,135,Exact,1188,Estimate,Lignite,Thermal,,,,,48,2022,487,2,2014,,4,https://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=3gL0Jc2zbttDCveCQH6/TrLaDtweAYQn62pz5EA25iVayUeF7WGszLwNkvWDijJvOexKDyovb0nqbTtojjWnBQ1F/XGKMGcJzQCn+f2U5JM=&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzWF1OLE6RXe5MiAhSH8vdQ1,North Karanpura,Tandwa,Chatra,Jharkhand,Southern Asia,Asia,23.88948,85.00171,Exact,Coal Plant,Barh I power station,https://www.gem.wiki/Barh_I_power_station,,,,,,,,62.4,0.04,1.8,1.5,3.4,1.2,356
M0475,,India,Amrapali Coal Mine,"Magadh Amrapali Area, Amrapali Expansion OCP (Phase I)",,,https://www.gem.wiki/Magadh_Amrapali_coal_mines,,Proposed,Construction,Expansion,Stage 1,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,6,*,,,Surface,Open Pit,6.2,50,Estimate,1212,Estimate,Subbituminous,Thermal,,,,,80,2022,-,589,2028,,,,North Karanpura,Tandwa,Chatra,Jharkhand,Southern Asia,Asia,23.88948,85.00171,Exact,,,,,,,,,,,7.2,0.01,0.8,1.5,0.4,0.1,356
M0476,,India,Ananta Coal Mine,,,,https://www.gem.wiki/Ananta_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,7.9,19.3,2023,,Surface,Open Pit,14.2,50,Estimate,1381,Estimate,Lignite,Thermal,,,,,265,2022,,14,1989,,-,,Talcher,Jannagath,Angul,Odisha,Southern Asia,Asia,20.94361,85.16372,Exact,,,,,,,,,,,23.2,0.02,0.8,1.5,1.3,0.5,356
M0477,,India,Ashoka Coal Mine,"Piparwar Area, Ashok",,,https://www.gem.wiki/Ashoka_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,8,9.85,2023,,Surface,Open Pit,7.93,50,Estimate,854,Estimate,Subbituminous,Thermal,,,,,20,2022,213,2,2000,,-,,Piparwar,,Chatra,Jharkhand,Southern Asia,Asia,23.72427,85.03753,Exact,,,,,,,,,,,11.8,0.01,0.8,1.5,0.7,0.2,356
M0478,,India,Balaram Coal Mine,Balram,,,https://www.gem.wiki/Balaram_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,5,7.06,2023,,Surface,Open Pit,13.09,50,Estimate,1326,Exact,Subbituminous,Thermal,,,,,67,2022,,9,1991,,45,,Talcher,Hingula,Angul,Odisha,Southern Asia,Asia,20.96201,85.17809,Exact,,,,,,,,,,,8.5,0.01,0.8,1.5,0.5,0.2,356
M0478,,India,Balaram Coal Mine,Balram,,,https://www.gem.wiki/Balaram_coal_mine,,Proposed,Permitted,Expansion,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,5,*,,,Surface,Open Pit,12.65,50,Estimate,,,Subbituminous,Thermal,,,,,-,2022,-,-,TBD,,45,,Talcher,,Angul,Odisha,Southern Asia,Asia,20.96201,85.17809,Exact,,,,,,,,,,,6,0.00,0.8,1.5,0.3,0.1,356
M0479,,India,Baroud Coal Mine,,,,https://www.gem.wiki/Baroud_OC_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,4,1.17,2023,,Surface,Open Pit,11.1,50,Estimate,460,Estimate,Subbituminous,Thermal,,,,,108,2022,-,92,,,-,,Mand-Raigarh,Baroud,Raigarh,Chhattisgarh,Southern Asia,Asia,22.26846,83.34554,Exact,,,,,,,,,,,1.4,0.00,0.8,1.5,0.1,0,356
M0481,,India,Basundhara (West) Coal Mine,,,,https://www.gem.wiki/Basundhara_coal_mines,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,5,0.95,2023,,Surface,Open Pit,4.37,50,Estimate,405,Estimate,Lignite,Thermal,,,,,93,2013,-,98,2004,,,,Ib Valley,Mahalaxmi,Sundergarh,Odisha,Southern Asia,Asia,22.05928,83.7304,Exact,,,,,,,,,,,1.1,0.00,0.8,1.5,0.1,0,356
M0482,,India,Batura Coal Mine,"Batura OCP, Batura Highwall, Rampur Batura",,,https://www.gem.wiki/Batura_coal_mine,,Proposed,Permitted,New,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,3,*,,,Surface,Open Pit,13.88,50,Estimate,,,Lignite,Thermal,,,,,36,,39,30,TBD,,20,,Sohagpur,,Anuppur and Shahdol,Madhya Pradesh,Southern Asia,Asia,23.20952,81.63983,Approximate,,,,,,,,,,,3.6,0.00,0.8,1.5,0.2,0.1,356
M0483,,India,Belpahar Coal Mine,,,,https://www.gem.wiki/Belpahar_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,5.38,8.98,2023,,Surface,Open Pit,14.44,50,Estimate,1024,Exact,Lignite,Thermal,,,,,12,2022,-,1,1992,,-,,Ib Valley,Lakhanpur,Sundergarh,Odisha,Southern Asia,Asia,21.75,83.8417,Exact,,,,,,,,,,,10.8,0.01,0.8,1.5,0.6,0.2,356
M0484,,India,Bharatpur Coal Mine,,,,https://www.gem.wiki/Bharatpur_coal_mine#Location,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,8,11.3,2023,,Surface,Open Pit,9.27,50,Estimate,1028,Estimate,Lignite,Thermal,,,,,81,2022,-,7,1985,,7,2022,Talcher,Bharatpur,Angul,Odisha,Southern Asia,Asia,20.95753,85.12891,Exact,,,,,,,,,,,13.6,0.01,0.8,1.5,0.7,0.3,356
M0484,,India,Bharatpur Coal Mine,,,,https://www.gem.wiki/Bharatpur_Coal_Mine,,Proposed,Pre-Permit,Expansion,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,4.5,,,,Surface,Open Pit,6.3,50,Estimate,,,Lignite,Thermal,,,,,408,2022,829,,2029,,17,2022,Talcher,Mahanadi River Basin,Angul,Odisha,Southern Asia,Asia,20.95753,85.12891,Exact,,,,,,,,,,,5.4,0.00,0.8,1.5,0.3,0.1,356
M0485,,India,Bhatadi Coal Mine,,,,https://www.gem.wiki/Bhatadi_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.5,0.85,2023,,Surface,Open Pit,8.5,50,Estimate,316,Estimate,Subbituminous,Thermal,,,,,46,2019,56,54,1998,,-,,Wardha Valley,Bhatadi,Chandrapur,Maharashtra,Southern Asia,Asia,20.05738,79.26736,Exact,,,,,,,,,,,1,0.00,0.8,1.5,0.1,0,356
M0486,,India,Bhubaneswari Coal Mine,,,,https://www.gem.wiki/Bhubaneswari_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,10,23.46,2023,,Surface,Open Pit,6.58,50,Estimate,1007,Exact,Lignite,Thermal,,,,,397,2022,421,17,2006,,4,2022,Talcher,Jagannath,Angul,Odisha,Southern Asia,Asia,20.96169,85.1601,Exact,,,,,,,,,,,28.2,0.02,0.8,1.5,1.6,0.6,356
M0486,,India,Bhubaneswari Coal Mine,,,,https://www.gem.wiki/Bhubaneswari_coal_mine,,Shelved,Announced,Expansion,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,8,*,,,Surface,Open Pit,-,50,Estimate,,,Subbituminous,Thermal,,,,,259,2022,374,,TBD,,-,,Talcher,,,Odisha,Southern Asia,Asia,20.96169,85.1601,Exact,,,,,,,,,,,9.6,0.01,0.8,1.5,0.5,0.2,356
M0487,,India,Bijari Coal Mine,,,,https://www.gem.wiki/Bijari_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.8,1.47,2023,,Surface,Open Pit,2.73,50,Estimate,442,Estimate,Subbituminous,Thermal,,,,,18,2008,21,12,2019,,-,,Mand-Raigarh,Raigarh,Raigarh,Chhattisgarh,Southern Asia,Asia,22.2471,83.3828,Exact,,,,,,,,,,,1.8,0.00,0.8,1.5,0.1,0,356
M0488,,India,Bina Coal Mine,,,,https://www.gem.wiki/Bina_coal_mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,6,10.5,2023,,Surface,Open Pit,17.98,250,Exact,1230,Estimate,Lignite,Thermal,,,,,19,2022,-,2,2006,,10,,Singrauli,Bina,Singrauli / Bina,Madhya Pradesh,Southern Asia,Asia,24.1483,82.7476,Exact,Coal Plant,Anpara thermal power station,https://www.gem.wiki/Anpara_thermal_power_station,,,,,,,,45.7,0.03,2.9,1.5,2.5,0.9,356
M0489,,India,Block II (BOCP) Coal Mine,Cluster 2,,,https://www.gem.wiki/Block_II_mines,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,4,5.35,2023,,Underground & Surface,Mixed,8.52,250,Exact,1398,Estimate,Bituminous,Met,,,,,112,,-,21,,,-,,Dhanbad,,,Jharkhand,Southern Asia,Asia,23.75722,86.79446,Approximate,,,,,,,,,,,83.9,0.06,9.8,1.6,4.6,1.7,356
M0490,,India,Block-B Coal Mine,,,,https://www.gem.wiki/Block_B_coal_mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,4,5.47,2023,,Surface,Open Pit,13.39,50,Estimate,944,Estimate,Lignite,Thermal,,,,,116,2022,,21,2006,,10,,Singrauli,,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.17502,82.56028,Exact,,,,,,,,,,,6.6,0.00,0.8,1.5,0.4,0.1,356
M0490,,India,Block-B Coal Mine,,,,https://www.gem.wiki/Block_B_coal_mine,,Proposed,Permitted,Expansion,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,3.2,*,,,Surface,Open Pit,,50,Estimate,636,Estimate,Lignite,Thermal,,,,,,,,,TBD,,,,Singrauli,,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.17502,82.56028,Exact,,,,,,,,,,,3.8,0.00,0.8,1.5,0.2,0.1,356
M0491,,India,Chakla Coal Mine,Coal Auction,,,https://www.gem.wiki/Chakla_coal_mine,,Proposed,Pre-Permit,New,,Hindalco Industries Ltd [100%],E100000120560 [100%],,Hindalco Industries Ltd [100.0%],E100000120560 [100.0%],India,3.2,*,,,Surface,Open Pit,8.63,50,Estimate,,,Subbituminous,Thermal,,,,,37,,-,9,2025-2026,,20,,North Karanpura,Chakla,Latehar,Jharkhand,Southern Asia,Asia,23.73325,84.81668,Exact,,,,,,,,,,,3.8,0.00,0.8,1.5,0.2,0.1,356
M0492,,India,Chandragupta Coal Mine,Chandragupta OCP,,,https://www.gem.wiki/Chandragupta_coal_mine,,Proposed,Permitted,New,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,8,*,,,Surface,Open Pit,-,50,Estimate,,,Lignite,Thermal,,,,,-,,600,-,TBD,,-,,North Karanpura,,,Jharkhand,Southern Asia,Asia,23.9,85.03333,Approximate,,,,,,,,,,,9.6,0.01,0.8,1.5,0.5,0.2,356
M0493,,India,Chhal Coal Mine,,,,https://www.gem.wiki/Chhal_OC_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2.7,6.24,2023,,Surface,Open Pit,6.41,50,Estimate,986,Estimate,Subbituminous,Thermal,,,,,146,,-,23,,,-,,Mand-Raigarh,Lat,Raigarh,Chhattisgarh,Southern Asia,Asia,22.1002,83.11048,Exact,,,,,,,,,,,7.5,0.01,0.8,1.5,0.4,0.1,356
M0493,,India,Chhal Coal Mine,Chhal Opencast Expn ,,,https://www.gem.wiki/Chhal_OC_coal_mine,,Proposed,Construction,Expansion,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2,*,,,Surface,Open Pit,13.43,50,Estimate,708,Estimate,Lignite,Thermal,,,,,151,,197,,,,30,,,Dharamjaigarh,Raigarh,Chhattisgarh,Southern Asia,Asia,22.1002,83.11048,Approximate,,,,,,,,,,,2.4,0.00,0.8,1.5,0.1,0,356
M0494,,India,Chirimiri Coal Mine,"Chirimiri Hill, North Chirimiri, West Chirimiri, Chirimiri UG, Chirimiri OC and Others",,,https://www.gem.wiki/Chirimiri_coal_mines,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.5,0.98,2023,,Underground & Surface,Mixed,24,74,Exact,614,Estimate,Subbituminous,Thermal,,,,,48,2022,362,49,,,-,,Chirimiri,Chirimiri,Korea,Chhattisgarh,Southern Asia,Asia,23.18396,82.33668,Exact,,,,,,,,,,,1.7,0.00,1.1,1.6,0.1,0,356
M0495,,India,Chitra East Coal Mine,,,,https://www.gem.wiki/Chitra_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.9,1.75,2023,,Surface,Open Pit,7.8,50,Estimate,884,Exact,Subbituminous,Thermal,,,,,60,2020,-,34,1975,,-,,Deoghar,,,Jharkhand,Southern Asia,Asia,24.119,86.8636,Approximate,,,,,,,,,,,2.1,0.00,0.8,1.5,0.1,0,356
M0496,,India,Chotia Coal Mine,Chhotia,,,https://www.gem.wiki/Chotia_OC_coal_mine,,Operating,,,,Bharat Aluminium Company Ltd [100%],E100001010032 [100%],,Government of India [49.0%]; Vedanta Ltd [51.0%],E100001000397 [49.0%]; E100001000479 [51.0%],India,1.4,1,2023,,Surface,Open Pit,11.79,50,Estimate,334,Estimate,Subbituminous,Thermal,,,,,11,,14,11,,,-,,Hasdeo Arand,Salaigot,Korba,Chhattisgarh,Southern Asia,Asia,22.7809,82.47666,Exact,,,,,,,,,,,1.2,0.00,0.8,1.5,0.1,0,356
M0508,,India,Dabor Coal Mine,Cluster 3,,,https://www.gem.wiki/Dabor_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.8,0.33,2023,,Underground & Surface,Mixed,3.47,60,Estimate,533,Estimate,Subbituminous,Thermal,,,,,12,2014,-,36,,,-,,Raniganj,Asansol,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.78972,86.91521,Exact,,,,,,,,,,,0.4,0.00,0.9,1.5,0,0,356
M0511,,India,Dhirauli Coal Mine,,,,https://www.gem.wiki/Dhirauli_coal_mine,,Proposed,Permitted,New,,Stratatech Mineral Resources Pvt Ltd [100%],E100001000904 [100%],,Adani Enterprises Ltd [100.0%],E100001000761 [100.0%],India,4.8,*,,,Underground & Surface,Mixed,26.72,60,Estimate,,,Subbituminous,Thermal,,,,,314,,558,-,TBD,,-,,Singrauli,,,Madhya Pradesh,Southern Asia,Asia,23.93612,82.31782,Approximate,,,,,,,,,,,6.5,0.00,0.9,1.5,0.4,0.1,356
M0512,,India,Dhori Group Coal Mine,Bokaro & Kargali Area,,,https://www.gem.wiki/Bokaro_and_Kargali_coal_mines,,Shelved,Pre-Permit,Expansion,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,5.25,*,,,Surface,Open Pit,-,50,Estimate,,,Subbituminous,Thermal,,,,,259,,-,1363,2001,,-,,East Bokaro,,Bokaro,Jharkhand,Southern Asia,Asia,23.77115,85.99471,Approximate,,,,,,,,,,,6.3,0.00,0.8,1.5,0.3,0.1,356
M0513,,India,Dipka Coal Mine,,,,https://www.gem.wiki/Dipka_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,10,33.41,2023,,Surface,Open Pit,20,220,Exact,2725,Exact,Lignite,Thermal,,,,,165,2022,-,5,1992,,28,,Korba,,Korba,Chhattisgarh,Southern Asia,Asia,22.34508,82.54419,Exact,Coal Plant,Korba Super Thermal Power Station (NTPC),https://www.gem.wiki/Korba_Super_Thermal_Power_Station_(NTPC),,,,,,,,135.3,0.09,2.7,1.5,7.5,2.7,356
M0513,,India,Dipka Coal Mine,Dipka Opencast Expansion Project,,,https://www.gem.wiki/Dipka_coal_mine,,Proposed,Construction,Expansion,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,3,*,,,Surface,Open Pit,-,50,Estimate,,,Lignite,Thermal,,,,,-,2022,-,-,TBD,,-,,Korba,Tehsil Katghora,Korba,Chhattisgarh,Southern Asia,Asia,22.34508,82.54419,Exact,,,,,,,,,,,3.6,0.00,0.8,1.5,0.2,0.1,356
M0514,,India,Dudhichua Coal Mine,,,,https://www.gem.wiki/Dudhichua_coal_mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,25,2023,,Surface,Open Pit,23.91,240,Exact,3018,Exact,Subbituminous,Thermal,,,,,229,2022,-,9,1982,,19,,Singrauli,,Sonbhadra,Uttar Pradesh,Southern Asia,Asia,24.16474,82.67287,Exact,,,,,,,,,,,108.8,0.07,2.9,1.5,6,2.2,356
